id,produto,quantidade,preço,data
1,teclado,2,15000.00,01/09/2021
2,mouse,21,7000.00,02/09/2021
3,monitor,10,7000.00,11/09/2021
4,impressora,11,3000.00,04/09/2021
5,scanner,12,3000.00,11/09/2021
6,placa mae,6,32.00,09/09/2021
7,processador,2,2.00,10/09/2021
8,memoria ram,2,3.00,11/09/2021
9,disco rigido,51,2.00,09/09/2021
10,ssd,1,3.00,10/09/2021
11,fonte,2,4.00,11/09/2021
12,gabinete,6,24.00,12/09/2021
13,placa de video,8,8.00,13/09/2021
14,placa de som,62,12.00,14/09/2021
15,placa de rede,61,09.50,15/09/2021
16,cooler,61,22.50,16/09/2021
17,pendrive,12,41.00,17/09/2021
18,hub usb,72,52.00,18/09/2021
19,carregador,61,250.00,19/09/2021
20,webcam,21,350.00,20/09/2021
21,microfone,1,800.00,21/09/2021
22,headset,6,500.00,22/09/2021
23,auto-falantes,22,30.00,23/09/2021
24,roteador,12,15.00,24/09/2021
25,switch,21,2.00,25/09/2021
26,modem,71,40.00,26/09/2021
27,acess point,7,20.00,27/09/2021
28,cabo de rede,1,100.00,28/09/2021
29,cabo hdmi,1,150.00,29/09/2021
30,cabo va,3,60.00,30/09/2021
31,cabo vga,61,200.00,31/09/2021
32,cabo de forca,52,120.00,09/10/2021
33,estabilizador,31,80.00,02/10/2021
34,no break,73,40.00,11/10/2021
35,antivirus,3,50.00,04/10/2021
36,windows,6,300.00,11/10/2021
52,office,2,2999.00,20/10/2021
53,photoshop,6,799.00,21/10/2021
54,filtro de linha,6,499.00,22/10/2021
55,servidor,1,59.00,23/10/2021
56,aws,6,1.00,24/10/2021
57,win rar,2,49.00,25/10/2021
58,vpn,5,99.00,26/10/2021
59,cadeira escritorio,12,29.00,27/10/2021
60,cadeira gamer,92,19.00,28/10/2021
61,ssd nvme2,32,39.00,09/10/2021
62,memoria ram,66,299.00,02/11/2021
63,notebook,62,99.00,11/11/2021
64,chromebook,61,69.00,04/11/2021
65,ps4,52,29.00,11/11/2021
66,ps5,12,1999.00,09/11/2021
67,ps3,20,79.00,10/11/2021
68,xbox s,17,9999,11/11/2021
70,xbox 360,15,4359.00,10/11/2021
71,nintendo switch,12,32.69,11/11/2021
76,controle,16,784.98,16/11/2021
77,manche,14,324.12,17/11/2021
78,nintendo 3ds,12,124.00,18/11/2021
79,gameboy,90,39.99,19/11/2021
80,pokemon saphire,6,2000.00,20/11/2021
81,gta 5,2,150.00,21/11/2021
82,god of war,4,12.50,22/11/2021
83,fifa 24,6,789.00,24/11/2021
85,football manager 24,5,888.00,25/11/2021
86,watercooler,2,300.00,27/11/2021
88,dissipador de calor,5,990.00,31/11/2021
